[2023-01-30 11:26:54,297] INFO [Broker id=0] Leader __consumer_offsets-37 with topic id Some(2tVM6erURvGWxhiCDCPb4g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-01-30 11:26:54,309] INFO [Broker id=0] Leader __consumer_offsets-18 with topic id Some(2tVM6erURvGWxhiCDCPb4g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-01-30 11:26:54,314] INFO [Broker id=0] Leader __consumer_offsets-34 with topic id Some(2tVM6erURvGWxhiCDCPb4g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-01-30 11:26:54,321] INFO [Broker id=0] Leader __consumer_offsets-15 with topic id Some(2tVM6erURvGWxhiCDCPb4g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-01-30 11:26:54,332] INFO [Broker id=0] Leader __consumer_offsets-12 with topic id Some(2tVM6erURvGWxhiCDCPb4g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-01-30 11:26:54,341] INFO [Broker id=0] Leader __consumer_offsets-31 with topic id Some(2tVM6erURvGWxhiCDCPb4g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-01-30 11:26:54,346] INFO [Broker id=0] Leader KafkaPythonTest-0 with topic id Some(TpW4hxNOQ1-YEdHaW0uuYQ) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-01-30 11:26:54,352] INFO [Broker id=0] Leader __consumer_offsets-9 with topic id Some(2tVM6erURvGWxhiCDCPb4g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-01-30 11:26:54,359] INFO [Broker id=0] Leader __consumer_offsets-47 with topic id Some(2tVM6erURvGWxhiCDCPb4g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
[2023-01-30 11:26:54,367] INFO [Broker id=0] Leader __consumer_offsets-19 with topic id Some(2tVM6erURvGWxhiCDCPb4g) starts at leader epoch 0 from offset 0 with partition epoch 0, high watermark 0, ISR [0], adding replicas [] and removing replicas []. Previous leader epoch was -1. (state.change.logger)
